"ENTRADA / RADICADO","ÁREA RESPONSABLE","ASUNTO"
"1190001-2026-0737","DABA","ACTA DE LIQUIDACIÓN CONTRATO DE OBRA NO. 1-01-25300-0043-2020, AVISO SAP NO. 700068062 Y NO. DE ORDEN 8400082337."
"2410001-2026-0464","DABA","Remisión certificación de criterios y requisitos ambientales, proyecto identificado con código AB-1098-108 y ficha SGI_007018, Aviso SAP No. 9000007179"
"1330001-2026-0217","DABA","CANCELACIÓN CXC - INFORME CONTRALORÍA PDVCF-202"
"1471001-2026-0281","DABA","REITERACIÓN – CONTRATO NO. 2-01-25300-1473-2019"
"1471001-2026-0282","DABA","REITERACIÓN – CONTRATOS NOS 1-02-25300-1373-2019 2-15-25300-1453-2019 1-02-25300- 1199-2021"
"1471001-2026-0283","DABA","REITERACIÓN – CONTRATOS NOS 1-02-25300-1075-2009, 2-02-25300-1097-2021, 2-15-25300- 1098-2021"
"1471001-2026-0287","DABA","REITERACIÓN – CONTRATO NO. 2-02-25300-0906-2015"
"1471001-2026-0285","DABA","REITERACIÓN – CONTRATO NO.1-02-25300-1362-2019"
"1471001-2026-0284","DABA","REITERACIÓN – CONTRATOS NOS 1-02-25300-0876-2021 2-15-25300-0872-2021"
"1471001-2026-0294","DABA","REITERACIÓN – CONTRATOS NOS. 2-02-25100-0393-2017 2-02-25100-0597-2017 2-02-25100- 1240-2018 Y 2 15-25100-0547-2017"
"E-2026-055888","DABA","SL-2026-0247 ¿LA EAAB ESP TIENE UN PLAN FRENTE A LOS RIESGOS QUE REPRESENTA UN FUERTE FENÓMENO DEL NIÑO EN EL AÑO 2026?"
"E-2026-065834","DABA","SE GENERÓ UNA RESPUESTA A SU RADICADO NO. 202600600501979592 CON EL NÚMERO 202600601502456621 SOLICITUD DE INTERVENCION POR MALA CALIDAD DEL AGUA EN LA SABANA DE BOGOTÁ"
"E-2026-063743","DABA","INVITACIÓN AL CTN 075 PRODUCTOS QUÍMICOS INDUSTRIALES (09/06/26) ICONTEC"
"1330001-2026-0200","DABA","CUENTA POR COBRAR - EMPRESA DE ACUEDUCTO Y ALCANTARILLADO Y ASEO DE PUERTO ASÍS"
"1530001-2026-0749","DABA","INFORMA SENTENCIA PROFERIDA EN EL PROCESO NO. 25000-23-36-000-2022-00131-01 SEGUROS DEL ESTADO S.A. Y ZURICH COLOMBIA SEGUROS S.A. VS EAAB ESP."
"1330001-2026-096","DABA","RESPUESTA MEMORANDO NO. 2531001-2026-071"
"E-2026-040252","DABA","DERECHO DE PETICIÓN – CALIDAD DEL AGUA SUMINISTRADA EN LA SABANA DE BOGOTÁ (SISTEMA TIBITÓ)"
"15300-2026-24","DRM_DABA_DBR","SOLICITUD INFORMACIÓN PARA CUMPLIMIENTO DEL REQUERIMIENTO FORMULADO DENTRO DE ACCIÓN POPULAR DE RÍO BOGOTÁ 250002315-000-2001-00479-02 – AUTO 3066."
"1442002-2026-2457","DRM_DABA","INSPECCIÓN PLANEADA DE SEGURIDAD Y SALUD EN ECO - EDIFICIO CENTRAL - PISO 4."
"1250001-2026-0135","DIRECCIONES_GERENCIA","SOCIALIZACIÓN DE INFORMES DE PLANES DE MEJORAMIENTO DEL SISTEMA ÚNICO DE GESTIÓN (SUG), GESTIÓN DE RIESGOS Y PLANIFICACIÓN DE CAMBIOS – PRIMER CUATRIMESTRE DE 2026"
